# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 019-lgdhyd
# station_name: Sangam (Murredu)
# latitude: 17.59361111111111
# longitude: 80.82166666666666
# river: Murredu
# rl_zero: 50.0
# warning_level: nan
# danger_level: nan
# hfl: 57.48
# hfl_date: 2023-07-27
station_code,time,wse,water_depth,unit,lat,lon
019-lgdhyd,2024-01-01 08:00:00,52.33,2.3299999999999983,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-01 13:00:00,52.33,2.3299999999999983,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-01 18:00:00,52.32,2.3200000000000003,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-02 08:00:00,52.32,2.3200000000000003,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-02 13:00:00,52.32,2.3200000000000003,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-02 18:00:00,52.31,2.3100000000000023,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-03 08:00:00,52.31,2.3100000000000023,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-03 13:00:00,52.31,2.3100000000000023,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-03 18:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-04 08:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-04 13:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-04 18:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-05 08:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-05 13:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-05 18:00:00,52.3,2.299999999999997,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-06 08:00:00,52.29,2.289999999999999,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-06 13:00:00,52.29,2.289999999999999,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-06 18:00:00,52.29,2.289999999999999,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-07 08:00:00,52.29,2.289999999999999,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-07 13:00:00,52.29,2.289999999999999,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-07 18:00:00,52.28,2.280000000000001,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-08 08:00:00,52.28,2.280000000000001,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-08 13:00:00,52.28,2.280000000000001,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-08 18:00:00,52.28,2.280000000000001,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-09 08:00:00,52.28,2.280000000000001,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-09 13:00:00,52.28,2.280000000000001,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-09 18:00:00,52.27,2.270000000000003,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-10 08:00:00,52.27,2.270000000000003,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-10 13:00:00,52.27,2.270000000000003,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-10 18:00:00,52.26,2.259999999999998,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-11 08:00:00,52.25,2.25,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-11 13:00:00,52.25,2.25,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-11 18:00:00,52.25,2.25,m,17.59361111111111,80.82166666666666
019-lgdhyd,2024-01-12 08:00:00,52.27,2.270000000000003,m,17.59361111111111,80.82166666666666
