# SWIFT Hydrological Timeseries
# source: CWC
# dataset: water_level
# station_code: 009-UGDHYD
# station_name: Jaikwadi Dam
# latitude: 19.487222222222226
# longitude: 75.3711111111111
# river: Godavari
# rl_zero: 0.0
# warning_level: nan
# danger_level: nan
# hfl: nan
# hfl_date: nan
station_code,time,wse,water_depth,unit,lat,lon
009-UGDHYD,2024-01-01 08:00:00,460.144,460.144,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-01 13:00:00,460.141,460.141,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-01 18:00:00,460.138,460.138,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-02 08:00:00,460.138,460.138,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-02 13:00:00,460.135,460.135,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-02 18:00:00,460.135,460.135,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-03 08:00:00,460.132,460.132,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-03 13:00:00,460.132,460.132,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-03 18:00:00,460.129,460.129,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-04 08:00:00,460.126,460.126,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-04 13:00:00,460.123,460.123,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-04 18:00:00,460.12,460.12,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-05 08:00:00,460.12,460.12,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-05 13:00:00,460.117,460.117,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-05 18:00:00,460.117,460.117,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-06 08:00:00,460.114,460.114,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-06 13:00:00,460.111,460.111,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-06 18:00:00,460.108,460.108,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-07 08:00:00,460.105,460.105,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-07 13:00:00,460.105,460.105,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-07 18:00:00,460.102,460.102,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-08 08:00:00,460.096,460.096,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-08 13:00:00,460.093,460.093,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-08 18:00:00,460.09,460.09,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-09 08:00:00,460.083,460.083,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-09 13:00:00,460.08,460.08,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-09 18:00:00,460.08,460.08,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-10 08:00:00,460.096,460.096,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-10 13:00:00,460.102,460.102,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-10 18:00:00,460.108,460.108,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-11 08:00:00,460.096,460.096,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-11 13:00:00,460.096,460.096,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-11 18:00:00,460.09,460.09,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-12 08:00:00,460.08,460.08,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-12 13:00:00,460.08,460.08,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-12 18:00:00,460.074,460.074,m,19.487222222222226,75.3711111111111
009-UGDHYD,2024-01-13 08:00:00,460.065,460.065,m,19.487222222222226,75.3711111111111
